page_id,procedure,site,url,captured_at,http_status,raw_path,cleaned_path,word_count_raw,word_count_cleaned,include,exclusion_reason,notes,git_sha_at_capture
jhmi__cta__f15ba785,cta,jhmi,https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/coronary-computed-tomography-angiography-ccta,2026-06-03T18:41:55Z,403,data/raw/jhmi__cta__f15ba785.html,data/cleaned/jhmi__cta__f15ba785.txt,,825,Y,,Johns Hopkins CCTA patient page; manually captured in browser (auto-capture returned 403),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
mayo__cta__7756ee3c,cta,mayo,https://www.mayoclinic.org/tests-procedures/ct-coronary-angiogram/about/pac-20385117,2026-06-03T18:41:57Z,403,data/raw/mayo__cta__7756ee3c.html,data/cleaned/mayo__cta__7756ee3c.txt,,1199,Y,,Mayo Clinic CT coronary angiogram; manually captured in browser (auto-capture returned 403),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
mayo__tavr__739229dd,tavr,mayo,https://www.mayoclinic.org/tests-procedures/transcatheter-aortic-valve-replacement/about/pac-20384698,2026-06-03T18:42:18Z,403,data/raw/mayo__tavr__739229dd.html,data/cleaned/mayo__tavr__739229dd.txt,,1357,Y,,Mayo Clinic TAVR; manually captured in browser (auto-capture returned 403),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
jhmi__tavr__7bdb4834,tavr,jhmi,https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/transcatheter-aortic-valve-replacement-tavr,2026-06-03T18:42:19Z,403,data/raw/jhmi__tavr__7bdb4834.html,data/cleaned/jhmi__tavr__7bdb4834.txt,,1227,Y,,Johns Hopkins TAVR; manually captured in browser (auto-capture returned 403),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
jhmi__laao__b5350128,laao,jhmi,https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/left-atrial-appendage-closure-procedures,2026-06-03T18:42:40Z,403,data/raw/jhmi__laao__b5350128.html,data/cleaned/jhmi__laao__b5350128.txt,,484,Y,,Johns Hopkins LAA closure procedures; manually captured in browser (auto-capture returned 403),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
radinfo__cta__6925659a,cta,radinfo,https://www.radiologyinfo.org/en/info/angiocoroct,2026-06-03T18:41:52Z,200,data/raw/radinfo__cta__6925659a.html,data/cleaned/radinfo__cta__6925659a.txt,,3153,Y,,RadiologyInfo Coronary CTA patient page (seed example),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
cleveland__cta__2327f207,cta,cleveland,https://my.clevelandclinic.org/health/diagnostics/ct-angiogram,2026-06-03T18:41:58Z,200,data/raw/cleveland__cta__2327f207.html,data/cleaned/cleveland__cta__2327f207.txt,,1044,Y,,Cleveland Clinic CT Angiogram (covers coronary CTA),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
aha__cta__665795d9,cta,aha,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/cardiac-computed-tomography,2026-06-03T18:42:01Z,200,data/raw/aha__cta__665795d9.html,data/cleaned/aha__cta__665795d9.txt,,591,Y,,AHA Cardiac CCTA,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
bhf__cta__273e2b24,cta,bhf,https://www.bhf.org.uk/informationsupport/heart-matters-magazine/medical/tests/ct-scans-of-the-heart,2026-06-03T18:42:04Z,200,data/raw/bhf__cta__273e2b24.html,data/cleaned/bhf__cta__273e2b24.txt,,875,Y,,BHF CT scans of the heart,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
bwh__cta__41bd929e,cta,bwh,https://www.brighamandwomens.org/heart-and-vascular-center/procedures/cardiac-ct,2026-06-03T18:42:07Z,200,data/raw/bwh__cta__41bd929e.html,data/cleaned/bwh__cta__41bd929e.txt,,725,Y,,Brigham and Women's Cardiac CT,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
ucsf__cta__071e7999,cta,ucsf,https://www.ucsfhealth.org/medical-tests/coronary-ct-angiography,2026-06-03T18:42:09Z,200,data/raw/ucsf__cta__071e7999.html,data/cleaned/ucsf__cta__071e7999.txt,,1136,Y,,UCSF Coronary CT angiography,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
stanford__cta__80db3ba7,cta,stanford,https://stanfordhealthcare.org/medical-tests/c/ct-coronary-angiogram.html,2026-06-03T18:42:11Z,200,data/raw/stanford__cta__80db3ba7.html,data/cleaned/stanford__cta__80db3ba7.txt,,293,Y,,Stanford CT coronary angiogram,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
acc__cta__c5b9cb9c,cta,acc,https://www.cardiosmart.org/topics/coronary-artery-disease/exams-and-tests,2026-06-03T18:42:14Z,200,data/raw/acc__cta__c5b9cb9c.html,data/cleaned/acc__cta__c5b9cb9c.txt,,434,Y,,CardioSmart CAD exams and tests (includes CCTA),505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
cleveland__tavr__2d4c210c,tavr,cleveland,https://my.clevelandclinic.org/health/treatments/17570-transcatheter-aortic-valve-replacement-tavr,2026-06-03T18:42:16Z,200,data/raw/cleveland__tavr__2d4c210c.html,data/cleaned/cleveland__tavr__2d4c210c.txt,,946,Y,,Cleveland Clinic TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
stanford__tavr__9f21f452,tavr,stanford,https://stanfordhealthcare.org/medical-treatments/t/transcatheter-aortic-valve-replacement-tavr.html,2026-06-03T18:42:22Z,200,data/raw/stanford__tavr__9f21f452.html,data/cleaned/stanford__tavr__9f21f452.txt,,350,Y,,Stanford TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
ucsf__tavr__ebb4143e,tavr,ucsf,https://www.ucsfhealth.org/care/treatments/transcatheter-aortic-valve-replacement,2026-06-03T18:42:24Z,200,data/raw/ucsf__tavr__ebb4143e.html,data/cleaned/ucsf__tavr__ebb4143e.txt,,1666,Y,,UCSF TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
aha__tavr__a17a16b5,tavr,aha,https://www.heart.org/en/health-topics/heart-valve-problems-and-disease/understanding-your-heart-valve-treatment-options/what-is-tavr,2026-06-03T18:42:26Z,200,data/raw/aha__tavr__a17a16b5.html,data/cleaned/aha__tavr__a17a16b5.txt,,500,Y,,AHA What is TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
acc__tavr__7c9ba481,tavr,acc,https://www.cardiosmart.org/topics/aortic-stenosis/treatment/choosing-tavr-surgery-or-symptom-management,2026-06-03T18:42:29Z,200,data/raw/acc__tavr__7c9ba481.html,data/cleaned/acc__tavr__7c9ba481.txt,,260,Y,,CardioSmart Choosing TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
bwh__tavr__560e7825,tavr,bwh,https://www.brighamandwomens.org/heart-and-vascular-center/procedures/transcatheter-aortic-valve-replacement-tavr,2026-06-03T18:42:32Z,200,data/raw/bwh__tavr__560e7825.html,data/cleaned/bwh__tavr__560e7825.txt,,713,Y,,Brigham and Women's TAVR,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
bhf__tavr__333d87a9,tavr,bhf,https://www.bhf.org.uk/informationsupport/treatments/tavi,2026-06-03T18:42:35Z,200,data/raw/bhf__tavr__333d87a9.html,data/cleaned/bhf__tavr__333d87a9.txt,,1013,Y,,BHF TAVI procedure,505deaaf71e2ba54cfdec093326ece475d8c2e14-dirty
