page_id,model_id,accuracy_1_5,completeness_1_5,added_errors_1_5
acc__cta__c5b9cb9c,claude,5.0,5.0,1.0
acc__cta__c5b9cb9c,gemini,5.0,5.0,1.0
acc__cta__c5b9cb9c,openai,5.0,5.0,1.0
acc__tavr__7c9ba481,claude,5.0,5.0,1.0
acc__tavr__7c9ba481,gemini,5.0,5.0,1.0
acc__tavr__7c9ba481,openai,5.0,5.0,1.0
aha__cta__665795d9,claude,4.0,5.0,1.0
aha__cta__665795d9,gemini,5.0,5.0,1.0
aha__cta__665795d9,openai,5.0,5.0,1.0
aha__laao__f078cd99,claude,4.5,5.0,1.0
aha__laao__f078cd99,gemini,5.0,5.0,1.0
aha__laao__f078cd99,openai,5.0,5.0,1.0
aha__tavr__a17a16b5,claude,5.0,5.0,1.0
aha__tavr__a17a16b5,gemini,5.0,4.666666666666667,1.3333333333333333
aha__tavr__a17a16b5,openai,5.0,5.0,1.0
bhf__cta__273e2b24,claude,4.0,5.0,2.0
bhf__cta__273e2b24,gemini,5.0,5.0,1.0
bhf__cta__273e2b24,openai,5.0,5.0,1.3333333333333333
bhf__tavr__333d87a9,claude,5.0,5.0,1.0
bhf__tavr__333d87a9,gemini,5.0,5.0,1.0
bhf__tavr__333d87a9,openai,5.0,4.666666666666667,1.0
bwh__cta__41bd929e,claude,4.333333333333333,4.666666666666667,1.3333333333333333
bwh__cta__41bd929e,gemini,4.0,1.0,1.0
bwh__cta__41bd929e,openai,5.0,5.0,1.0
bwh__tavr__560e7825,claude,5.0,5.0,1.0
bwh__tavr__560e7825,gemini,4.0,5.0,1.0
bwh__tavr__560e7825,openai,5.0,4.5,1.0
cleveland__cta__2327f207,claude,5.0,5.0,1.0
cleveland__cta__2327f207,gemini,5.0,4.333333333333333,1.0
cleveland__cta__2327f207,openai,4.0,4.0,4.0
cleveland__laao__58be2f5f,claude,4.0,5.0,1.0
cleveland__laao__58be2f5f,gemini,4.666666666666667,4.333333333333333,1.3333333333333333
cleveland__laao__58be2f5f,openai,4.5,5.0,1.0
cleveland__tavr__2d4c210c,claude,4.666666666666667,4.333333333333333,1.0
cleveland__tavr__2d4c210c,gemini,5.0,5.0,1.0
cleveland__tavr__2d4c210c,openai,5.0,5.0,1.0
jhmi__cta__f15ba785,claude,5.0,5.0,1.0
jhmi__cta__f15ba785,gemini,5.0,5.0,1.0
jhmi__cta__f15ba785,openai,4.666666666666667,4.666666666666667,1.0
jhmi__laao__b5350128,claude,5.0,5.0,1.0
jhmi__laao__b5350128,gemini,5.0,5.0,1.0
jhmi__laao__b5350128,openai,5.0,5.0,1.0
jhmi__tavr__7bdb4834,claude,4.0,5.0,1.0
jhmi__tavr__7bdb4834,gemini,5.0,5.0,1.5
jhmi__tavr__7bdb4834,openai,5.0,5.0,1.0
mayo__cta__7756ee3c,claude,5.0,5.0,1.0
mayo__cta__7756ee3c,gemini,5.0,5.0,1.0
mayo__cta__7756ee3c,openai,1.0,1.0,2.0
mayo__tavr__739229dd,claude,5.0,5.0,1.5
mayo__tavr__739229dd,gemini,5.0,5.0,1.0
mayo__tavr__739229dd,openai,5.0,5.0,1.0
radinfo__cta__6925659a,claude,5.0,5.0,3.0
radinfo__cta__6925659a,gemini,4.5,2.5,1.0
radinfo__cta__6925659a,openai,4.666666666666667,5.0,1.0
radinfo__tavr__b91650e4,claude,5.0,5.0,1.0
radinfo__tavr__b91650e4,gemini,4.5,5.0,1.0
radinfo__tavr__b91650e4,openai,5.0,5.0,1.0
stanford__cta__80db3ba7,claude,5.0,5.0,1.0
stanford__cta__80db3ba7,gemini,4.333333333333333,4.666666666666667,1.0
stanford__cta__80db3ba7,openai,5.0,5.0,1.0
stanford__laao__46fbd5cc,claude,5.0,5.0,1.0
stanford__laao__46fbd5cc,gemini,5.0,5.0,1.0
stanford__laao__46fbd5cc,openai,5.0,5.0,1.0
stanford__laao__7b2864fb,claude,4.5,5.0,1.0
stanford__laao__7b2864fb,gemini,5.0,5.0,1.3333333333333333
stanford__laao__7b2864fb,openai,5.0,5.0,1.0
stanford__tavr__9f21f452,claude,5.0,5.0,1.0
stanford__tavr__9f21f452,gemini,5.0,4.666666666666667,1.0
stanford__tavr__9f21f452,openai,5.0,5.0,1.0
ucsf__cta__071e7999,claude,5.0,5.0,1.0
ucsf__cta__071e7999,gemini,4.666666666666667,4.333333333333333,1.0
ucsf__laao__3b281006,claude,5.0,5.0,1.0
ucsf__laao__3b281006,gemini,5.0,4.666666666666667,1.0
ucsf__laao__3b281006,openai,5.0,5.0,1.0
ucsf__tavr__ebb4143e,claude,5.0,5.0,1.0
ucsf__tavr__ebb4143e,gemini,5.0,4.666666666666667,1.0
ucsf__tavr__ebb4143e,openai,5.0,5.0,1.0
