page_id,model_id,fkre_delta,fkgl_delta,gfi_delta,smog_delta,cli_delta,ari_delta,fkre_rewrite,fkgl_rewrite,gfi_rewrite,smog_rewrite,cli_rewrite,ari_rewrite,fkre_orig,fkgl_orig,gfi_orig,smog_orig,cli_orig,ari_orig
acc__cta__c5b9cb9c,claude,27.990000000000002,-5.9,-6.23,-4.280000000000001,-4.27,-6.249999999999999,85.61,3.74,6.41,8.03,5.76,3.95,57.62,9.64,12.64,12.31,10.03,10.2
acc__cta__c5b9cb9c,gemini,29.080000000000005,-5.8100000000000005,-6.580000000000001,-4.66,-3.919999999999999,-5.749999999999999,86.7,3.83,6.06,7.65,6.11,4.45,57.62,9.64,12.64,12.31,10.03,10.2
acc__cta__c5b9cb9c,openai,14.490000000000002,-3.66,-3.7200000000000006,-2.5600000000000005,-1.7699999999999996,-3.869999999999999,72.11,5.98,8.92,9.75,8.26,6.33,57.62,9.64,12.64,12.31,10.03,10.2
acc__tavr__7c9ba481,claude,26.279999999999994,-6.15,-6.87,-5.16,-4.41,-7.55,79.8,4.99,7.31,8.4,7.01,5.37,53.52,11.14,14.18,13.56,11.42,12.92
acc__tavr__7c9ba481,gemini,14.880000000000003,-3.750000000000001,-4.789999999999999,-3.4299999999999997,-1.8499999999999996,-4.390000000000001,68.4,7.39,9.39,10.13,9.57,8.53,53.52,11.14,14.18,13.56,11.42,12.92
acc__tavr__7c9ba481,openai,6.869999999999997,-1.7400000000000002,-2.3100000000000005,-1.75,-0.15000000000000036,-1.6799999999999997,60.39,9.4,11.87,11.81,11.27,11.24,53.52,11.14,14.18,13.56,11.42,12.92
aha__cta__665795d9,claude,19.5,-3.3,-3.8199999999999994,-2.99,-2.8900000000000006,-3.2399999999999993,81.09,5.38,7.8,8.49,6.18,5.2,61.59,8.68,11.62,11.48,9.07,8.44
aha__cta__665795d9,gemini,20.78,-3.4799999999999995,-4.299999999999999,-3.5600000000000005,-2.8100000000000005,-3.3099999999999996,82.37,5.2,7.32,7.92,6.26,5.13,61.59,8.68,11.62,11.48,9.07,8.44
aha__cta__665795d9,openai,10.25,-1.75,-1.9799999999999986,-1.4100000000000001,-1.46,-1.7299999999999995,71.84,6.93,9.64,10.07,7.61,6.71,61.59,8.68,11.62,11.48,9.07,8.44
aha__laao__f078cd99,claude,18.510000000000005,-3.3799999999999994,-3.920000000000001,-2.8000000000000007,-3.6399999999999997,-3.9299999999999997,86.79,3.72,6.71,8.17,5.87,4.08,68.28,7.1,10.63,10.97,9.51,8.01
