page_id,procedure,site,fkre,fkgl,gfi,smog,cli,ari,word_count,sentence_count,avg_words_per_sentence,avg_syllables_per_word,scorer_version
jhmi__cta__f15ba785,cta,jhmi,41.44,12.57,15.81,14.52,11.68,12.88,819,40,20.48,1.709,textstat-0.7.13
mayo__cta__7756ee3c,cta,mayo,58.08,8.46,11.3,11.5,9.61,8.19,1182,89,13.28,1.599,textstat-0.7.13
mayo__tavr__739229dd,tavr,mayo,64.13,7.51,10.41,10.89,10.65,9.03,1337,104,12.86,1.533,textstat-0.7.13
jhmi__tavr__7bdb4834,tavr,jhmi,57.36,8.64,12.11,11.95,11.03,9.59,1211,89,13.61,1.604,textstat-0.7.13
jhmi__laao__b5350128,laao,jhmi,49.96,11.21,14.49,13.56,11.75,12.56,475,24,19.79,1.617,textstat-0.7.13
radinfo__cta__6925659a,cta,radinfo,50.64,10.27,13.18,12.77,10.35,9.85,3114,190,16.39,1.65,textstat-0.7.13
cleveland__cta__2327f207,cta,cleveland,59.06,8.37,11.53,11.55,9.85,8.64,1010,75,13.47,1.585,textstat-0.7.13
aha__cta__665795d9,cta,aha,61.59,8.68,11.62,11.48,9.07,8.44,581,36,16.14,1.523,textstat-0.7.13
bhf__cta__273e2b24,cta,bhf,54.41,10.45,13.42,12.91,9.95,10.83,865,45,19.22,1.571,textstat-0.7.13
bwh__cta__41bd929e,cta,bwh,22.94,15.58,18.79,17.09,14.47,15.95,711,32,22.22,1.907,textstat-0.7.13
ucsf__cta__071e7999,cta,ucsf,54.73,9.42,12.6,12.3,10.28,9.13,1114,73,15.26,1.615,textstat-0.7.13
stanford__cta__80db3ba7,cta,stanford,34.58,12.16,15.82,14.25,12.81,11.56,285,19,15.0,1.856,textstat-0.7.13
acc__cta__c5b9cb9c,cta,acc,57.62,9.64,12.64,12.31,10.03,10.2,427,24,17.79,1.55,textstat-0.7.13
cleveland__tavr__2d4c210c,tavr,cleveland,56.89,8.55,11.8,11.77,11.25,9.64,908,70,12.97,1.617,textstat-0.7.13
stanford__tavr__9f21f452,tavr,stanford,37.0,12.36,16.42,14.84,14.94,13.79,343,20,17.15,1.802,textstat-0.7.13
ucsf__tavr__ebb4143e,tavr,ucsf,56.48,9.77,13.0,12.68,10.95,10.98,1626,92,17.67,1.565,textstat-0.7.13
aha__tavr__a17a16b5,tavr,aha,48.57,10.99,15.67,14.45,12.2,12.1,490,27,18.15,1.653,textstat-0.7.13
acc__tavr__7c9ba481,tavr,acc,53.52,11.14,14.18,13.56,11.42,12.92,258,12,21.5,1.554,textstat-0.7.13
bwh__tavr__560e7825,tavr,bwh,28.51,14.69,17.84,16.41,14.79,15.83,697,32,21.78,1.846,textstat-0.7.13
bhf__tavr__333d87a9,tavr,bhf,70.59,6.95,9.63,10.51,8.02,7.35,996,70,14.23,1.44,textstat-0.7.13
radinfo__tavr__b91650e4,tavr,radinfo,33.22,16.36,20.0,17.12,13.58,19.44,249,8,31.12,1.679,textstat-0.7.13
ucsf__laao__3b281006,laao,ucsf,52.02,10.44,13.78,13.24,11.57,11.63,965,54,17.87,1.616,textstat-0.7.13
stanford__laao__46fbd5cc,laao,stanford,37.78,12.75,14.97,14.14,15.66,15.19,268,14,19.14,1.769,textstat-0.7.13
stanford__laao__7b2864fb,laao,stanford,51.65,10.36,12.23,12.32,12.51,11.91,589,34,17.32,1.626,textstat-0.7.13
cleveland__laao__58be2f5f,laao,cleveland,56.13,9.52,12.63,12.33,11.21,10.98,1250,76,16.45,1.584,textstat-0.7.13
aha__laao__f078cd99,laao,aha,68.28,7.1,10.63,10.97,9.51,8.01,461,34,13.56,1.475,textstat-0.7.13
