page_id,model_id,fkre,fkgl,gfi,smog,cli,ari,word_count,sentence_count,avg_words_per_sentence,avg_syllables_per_word,scorer_version
acc__cta__c5b9cb9c,claude,85.61,3.74,6.41,8.03,5.76,3.95,478,49,9.76,1.316,textstat-0.7.13
acc__cta__c5b9cb9c,gemini,86.7,3.83,6.06,7.65,6.11,4.45,429,40,10.72,1.291,textstat-0.7.13
acc__cta__c5b9cb9c,openai,72.11,5.98,8.92,9.75,8.26,6.33,458,41,11.17,1.459,textstat-0.7.13
acc__tavr__7c9ba481,claude,79.8,4.99,7.31,8.4,7.01,5.37,311,27,11.52,1.363,textstat-0.7.13
acc__tavr__7c9ba481,gemini,68.4,7.39,9.39,10.13,9.57,8.53,207,14,14.79,1.459,textstat-0.7.13
acc__tavr__7c9ba481,openai,60.39,9.4,11.87,11.81,11.27,11.24,239,13,18.38,1.51,textstat-0.7.13
aha__cta__665795d9,claude,81.09,5.38,7.8,8.49,6.18,5.2,580,42,13.81,1.321,textstat-0.7.13
aha__cta__665795d9,gemini,82.37,5.2,7.32,7.92,6.26,5.13,510,37,13.78,1.306,textstat-0.7.13
aha__cta__665795d9,openai,71.84,6.93,9.64,10.07,7.61,6.71,594,40,14.85,1.418,textstat-0.7.13
aha__laao__f078cd99,claude,86.79,3.72,6.71,8.17,5.87,4.08,464,45,10.31,1.295,textstat-0.7.13
aha__laao__f078cd99,gemini,79.67,4.72,7.72,9.11,7.25,5.18,425,41,10.37,1.379,textstat-0.7.13
aha__laao__f078cd99,openai,74.14,5.82,8.91,9.84,8.22,6.35,490,42,11.67,1.429,textstat-0.7.13
aha__tavr__a17a16b5,claude,82.57,4.32,7.61,8.66,6.47,4.7,508,49,10.37,1.344,textstat-0.7.13
aha__tavr__a17a16b5,gemini,84.94,4.22,7.53,8.47,6.27,4.8,452,40,11.3,1.305,textstat-0.7.13
aha__tavr__a17a16b5,openai,70.31,6.24,9.96,10.31,8.75,6.74,482,43,11.21,1.479,textstat-0.7.13
bhf__cta__273e2b24,claude,81.15,4.72,7.42,8.56,6.23,4.81,828,74,11.19,1.351,textstat-0.7.13
bhf__cta__273e2b24,gemini,83.37,4.43,6.87,7.95,5.98,4.74,743,66,11.26,1.324,textstat-0.7.13
bhf__cta__273e2b24,openai,70.46,6.37,9.21,9.93,7.79,6.27,874,74,11.81,1.47,textstat-0.7.13
bhf__tavr__333d87a9,claude,78.87,5.36,8.04,9.23,6.46,5.29,987,79,12.49,1.363,textstat-0.7.13
bhf__tavr__333d87a9,gemini,89.03,3.31,5.3,7.05,4.58,3.1,695,70,9.93,1.273,textstat-0.7.13
bhf__tavr__333d87a9,openai,76.41,5.71,8.16,9.48,6.94,5.8,902,72,12.53,1.391,textstat-0.7.13
bwh__cta__41bd929e,claude,66.95,6.88,9.13,10.16,8.94,7.36,715,60,11.92,1.51,textstat-0.7.13
bwh__cta__41bd929e,gemini,72.12,6.3,8.19,9.49,8.55,7.08,673,54,12.46,1.443,textstat-0.7.13
