group,score,n,mean,sd,median,iqr_low,iqr_high
cta,fkre,10,49.509,12.573675719975887,54.56999999999999,43.739999999999995,57.964999999999996
cta,fkgl,10,10.559999999999999,2.2799415197178488,9.955,8.865,11.7325
cta,gfi,10,13.670999999999998,2.411175139958845,12.91,11.864999999999998,15.2125
cta,smog,10,13.068000000000001,1.7715266485906065,12.54,11.7375,13.915
cta,cli,10,10.809999999999999,1.6793583430716763,10.155,9.875,11.3475
cta,ari,10,10.567,2.4033127599674207,10.024999999999999,8.762500000000001,11.377500000000001
laao,fkre,6,52.63666666666666,9.860589569932756,51.835,50.3825,55.102500000000006
laao,fkgl,6,10.23,1.8800425527099116,10.399999999999999,9.73,11.0175
laao,gfi,6,13.121666666666664,1.6104212699373621,13.205,12.33,14.3125
laao,smog,6,12.76,1.1275992195811417,12.785,12.3225,13.48
laao,cli,6,12.035000000000002,2.0356792478187717,11.66,11.3,12.32
laao,ari,6,11.713333333333336,2.3281809780742275,11.77,11.1425,12.3975
tavr,fkre,10,50.626999999999995,13.703728649126445,55.0,39.8925,57.2425
tavr,fkgl,10,10.696000000000002,3.0724300914205784,10.379999999999999,8.572500000000002,12.055
tavr,gfi,10,14.106,3.345113185263276,13.59,11.877500000000001,16.2325
tavr,smog,10,13.418000000000001,2.261439069855004,13.120000000000001,11.815,14.7425
tavr,cli,10,11.883,2.0931743570206685,11.335,10.969999999999999,13.235
tavr,ari,10,12.066999999999998,3.604004100379959,11.54,9.6025,13.5725
