score,group_a,group_b,n_a,n_b,mean_rank_a,mean_rank_b,z,p_raw,p_adj
fkre,acc,aha,2,3,16.5,18.666666666666668,-0.31031644541708775,0.7563203263880052,1.0
fkre,acc,bhf,2,2,16.5,20.0,-0.4576043153224294,0.647236742644139,1.0
fkre,acc,bwh,2,2,16.5,1.5,1.9611613513818402,0.04986020375690692,1.0
fkre,acc,cleveland,2,3,16.5,18.666666666666668,-0.31031644541708775,0.7563203263880052,1.0
fkre,acc,jhmi,2,3,16.5,11.666666666666666,0.6922443782381186,0.4887838736987846,1.0
fkre,acc,mayo,2,2,16.5,22.5,-0.7844645405527361,0.43276758066778465,1.0
fkre,acc,radinfo,2,2,16.5,6.5,1.307440900921227,0.19106301404569415,1.0
fkre,acc,stanford,2,4,16.5,6.5,1.5097027121927944,0.13111929891692542,1.0
fkre,acc,ucsf,2,3,16.5,14.666666666666666,0.2625754538144588,0.7928778213724641,1.0
fkre,aha,bhf,3,2,18.666666666666668,20.0,-0.19096396641051527,0.848553824226725,1.0
fkre,aha,bwh,3,2,18.666666666666668,1.5,2.4586610675353864,0.013945620514048684,0.6136073026181421
fkre,aha,cleveland,3,3,18.666666666666668,18.666666666666668,0.0,1.0,1.0
fkre,aha,jhmi,3,3,18.666666666666668,11.666666666666666,1.1208970766356101,0.2623316754083571,1.0
fkre,aha,mayo,3,2,18.666666666666668,22.5,-0.5490214034302318,0.5829907614935561,1.0
fkre,aha,radinfo,3,2,18.666666666666668,6.5,1.7425461934959536,0.08141291580222654,1.0
fkre,aha,stanford,3,4,18.666666666666668,6.5,2.08274106355311,0.03727483228769901,1.0
fkre,aha,ucsf,3,3,18.666666666666668,14.666666666666666,0.6405126152203489,0.5218393903336151,1.0
fkre,bhf,bwh,2,2,20.0,1.5,2.4187656667042696,0.015573268960520359,0.6540772963418551
fkre,bhf,cleveland,2,3,20.0,18.666666666666668,0.19096396641051527,0.848553824226725,1.0
fkre,bhf,jhmi,2,3,20.0,11.666666666666666,1.1935247900657215,0.23266390934660786,1.0
fkre,bhf,mayo,2,2,20.0,22.5,-0.3268602252303067,0.7437736057682318,1.0
fkre,bhf,radinfo,2,2,20.0,6.5,1.7650452162436563,0.0775561667436655,1.0
fkre,bhf,stanford,2,4,20.0,6.5,2.0380986614602725,0.04154006700988511,1.0
fkre,bhf,ucsf,2,3,20.0,14.666666666666666,0.7638558656420619,0.4449531406902758,1.0
fkre,bwh,cleveland,2,3,1.5,18.666666666666668,-2.4586610675353864,0.013945620514048684,0.6136073026181421
fkre,bwh,jhmi,2,3,1.5,11.666666666666666,-1.4561002438801802,0.14536491015510067,1.0
fkre,bwh,mayo,2,2,1.5,22.5,-2.7456258919345764,0.0060395590486568285,0.2717801571895573
fkre,bwh,radinfo,2,2,1.5,6.5,-0.6537204504606134,0.5132919253032897,1.0
fkre,bwh,stanford,2,4,1.5,6.5,-0.7548513560963972,0.450338175508211,1.0
fkre,bwh,ucsf,2,3,1.5,14.666666666666666,-1.88576916830384,0.05932606739221735,1.0
fkre,cleveland,jhmi,3,3,18.666666666666668,11.666666666666666,1.1208970766356101,0.2623316754083571,1.0
fkre,cleveland,mayo,3,2,18.666666666666668,22.5,-0.5490214034302318,0.5829907614935561,1.0
fkre,cleveland,radinfo,3,2,18.666666666666668,6.5,1.7425461934959536,0.08141291580222654,1.0
fkre,cleveland,stanford,3,4,18.666666666666668,6.5,2.08274106355311,0.03727483228769901,1.0
fkre,cleveland,ucsf,3,3,18.666666666666668,14.666666666666666,0.6405126152203489,0.5218393903336151,1.0
fkre,jhmi,mayo,3,2,11.666666666666666,22.5,-1.551582227085438,0.12076221847427226,1.0
fkre,jhmi,radinfo,3,2,11.666666666666666,6.5,0.7399853698407473,0.4593088716447089,1.0
fkre,jhmi,stanford,3,4,11.666666666666666,6.5,0.8844516845225533,0.3764524331350816,1.0
fkre,jhmi,ucsf,3,3,11.666666666666666,14.666666666666666,-0.48038446141526137,0.6309540411841708,1.0
fkre,mayo,radinfo,2,2,22.5,6.5,2.091905441473963,0.03644697523591334,1.0
fkre,mayo,stanford,2,4,22.5,6.5,2.415524339508471,0.01571257231165557,0.6540772963418551
fkre,mayo,ucsf,2,3,22.5,14.666666666666666,1.1219133026617782,0.26189930401366124,1.0
