label,model_a,model_b,n_pairs,mean_a,mean_b,median_diff,wilcoxon_stat,p_raw,effect_size_rank_biserial,p_holm
fkre,claude,openai,25,79.884,69.23599999999999,10.690000000000012,0.0,5.960464477539063e-08,1.0,1.7881393432617188e-07
fkre,claude,gemini,25,79.884,81.99520000000001,-2.299999999999997,75.0,0.017312347888946533,-0.5384615384615384,0.017312347888946533
fkre,openai,gemini,25,69.23599999999999,81.99520000000001,-12.620000000000005,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
fkgl,claude,openai,25,4.9344,6.6772,-1.6500000000000004,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
fkgl,claude,gemini,25,4.9344,4.7496,0.15000000000000036,120.0,0.2634761333465576,0.26153846153846155,0.2634761333465576
fkgl,openai,gemini,25,6.6772,4.7496,1.8799999999999994,0.0,5.960464477539063e-08,1.0,1.7881393432617188e-07
gfi,claude,openai,25,7.5152,9.402800000000001,-1.9200000000000008,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
gfi,claude,gemini,25,7.5152,7.0112,0.4299999999999997,89.0,0.04826241731643677,0.4523076923076923,0.04826241731643677
gfi,openai,gemini,25,9.402800000000001,7.0112,2.3500000000000005,0.0,5.960464477539063e-08,1.0,1.7881393432617188e-07
smog,claude,openai,25,8.6204,10.0556,-1.58,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
smog,claude,gemini,25,8.6204,8.1976,0.3000000000000007,66.5,0.008822321891784668,0.5907692307692308,0.008822321891784668
smog,openai,gemini,25,10.0556,8.1976,1.8899999999999988,0.0,5.960464477539063e-08,1.0,1.7881393432617188e-07
cli,claude,openai,25,6.755999999999999,8.6408,-2.039999999999999,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
cli,claude,gemini,25,6.755999999999999,6.584,0.29000000000000004,121.0,0.2751842737197876,0.2553846153846154,0.2751842737197876
cli,openai,gemini,25,8.6408,6.584,1.9099999999999993,0.0,5.960464477539063e-08,1.0,1.7881393432617188e-07
ari,claude,openai,25,5.2036,7.077599999999999,-1.919999999999999,0.0,5.960464477539063e-08,-1.0,1.7881393432617188e-07
ari,claude,gemini,25,5.2036,5.206,0.0699999999999994,162.0,1.0,0.003076923076923077,1.0
ari,openai,gemini,25,7.077599999999999,5.206,1.7699999999999996,1.0,1.1920928955078125e-07,0.9938461538461538,2.384185791015625e-07
