scope,axis,n_rewrites,labeled_mean,neutral_mean,mean_difference,wilcoxon_p
overall,accuracy_1_5,77,4.9935064935064934,4.904761904761905,0.08874458874458868,0.0004536093480484391
overall,completeness_1_5,77,4.98051948051948,4.844155844155844,0.13636363636363633,0.00011207510607089529
overall,added_errors_1_5,77,1.0,1.1385281385281385,-0.13852813852813853,0.0002420460871211461
claude,accuracy_1_5,26,5.0,4.987179487179488,0.01282051282051281,0.31731050786291415
claude,completeness_1_5,26,5.0,4.871794871794872,0.12820512820512814,0.003892417122778628
claude,added_errors_1_5,26,1.0,1.064102564102564,-0.06410256410256411,0.10247043485974937
openai,accuracy_1_5,25,5.0,4.92,0.07999999999999993,0.014305878435429648
openai,completeness_1_5,25,4.98,4.92,0.05999999999999996,0.2355589199240795
openai,added_errors_1_5,25,1.0,1.0666666666666667,-0.06666666666666667,0.05878172135535886
gemini,accuracy_1_5,26,4.980769230769231,4.807692307692308,0.17307692307692296,0.01100593680777824
gemini,completeness_1_5,26,4.961538461538462,4.743589743589744,0.21794871794871787,0.007778368783605666
gemini,added_errors_1_5,26,1.0,1.282051282051282,-0.28205128205128205,0.0047256977341214425
